,Alabama,,,,Alaska,,,,Arizona,,,,Arkansas,,,,California,,,,Colorado,,,,Connecticut,,,,Delaware,,,,District of Columbia,,,,Florida,,,,Georgia,,,,Hawaii,,,,Idaho,,,,Illinois,,,,Indiana,,,,Iowa,,,,Kansas,,,,Kentucky,,,,Louisiana,,,,Maine,,,,Maryland,,,,Massachusetts,,,,Michigan,,,,Minnesota,,,,Mississippi,,,,Missouri,,,,Montana,,,,Nebraska,,,,Nevada,,,,New Hampshire,,,,New Jersey,,,,New Mexico,,,,New York,,,,North Carolina,,,,North Dakota,,,,Ohio,,,,Oklahoma,,,,Oregon,,,,Pennsylvania,,,,Rhode Island,,,,South Carolina,,,,South Dakota,,,,Tennessee,,,,Texas,,,,Utah,,,,Vermont,,,,Virginia,,,,Washington,,,,West Virginia,,,,Wisconsin,,,,Wyoming,,,,Puerto Rico,,,
Label,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error
SEX AND AGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total population,"4,903,185",*****,"4,903,185",(X),"731,545",*****,"731,545",(X),"7,278,717",*****,"7,278,717",(X),"3,017,804",*****,"3,017,804",(X),"39,512,223",*****,"39,512,223",(X),"5,758,736",*****,"5,758,736",(X),"3,565,287",*****,"3,565,287",(X),"973,764",*****,"973,764",(X),"705,749",*****,"705,749",(X),"21,477,737",*****,"21,477,737",(X),"10,617,423",*****,"10,617,423",(X),"1,415,872",*****,"1,415,872",(X),"1,787,065",*****,"1,787,065",(X),"12,671,821",*****,"12,671,821",(X),"6,732,219",*****,"6,732,219",(X),"3,155,070",*****,"3,155,070",(X),"2,913,314",*****,"2,913,314",(X),"4,467,673",*****,"4,467,673",(X),"4,648,794",*****,"4,648,794",(X),"1,344,212",*****,"1,344,212",(X),"6,045,680",*****,"6,045,680",(X),"6,892,503",*****,"6,892,503",(X),"9,986,857",*****,"9,986,857",(X),"5,639,632",*****,"5,639,632",(X),"2,976,149",*****,"2,976,149",(X),"6,137,428",*****,"6,137,428",(X),"1,068,778",*****,"1,068,778",(X),"1,934,408",*****,"1,934,408",(X),"3,080,156",*****,"3,080,156",(X),"1,359,711",*****,"1,359,711",(X),"8,882,190",*****,"8,882,190",(X),"2,096,829",*****,"2,096,829",(X),"19,453,561",*****,"19,453,561",(X),"10,488,084",*****,"10,488,084",(X),"762,062",*****,"762,062",(X),"11,689,100",*****,"11,689,100",(X),"3,956,971",*****,"3,956,971",(X),"4,217,737",*****,"4,217,737",(X),"12,801,989",*****,"12,801,989",(X),"1,059,361",*****,"1,059,361",(X),"5,148,714",*****,"5,148,714",(X),"884,659",*****,"884,659",(X),"6,829,174",*****,"6,829,174",(X),"28,995,881",*****,"28,995,881",(X),"3,205,958",*****,"3,205,958",(X),"623,989",*****,"623,989",(X),"8,535,519",*****,"8,535,519",(X),"7,614,893",*****,"7,614,893",(X),"1,792,147",*****,"1,792,147",(X),"5,822,434",*****,"5,822,434",(X),"578,759",*****,"578,759",(X),"3,193,694",*****,"3,193,694",(X)
Male,"2,369,611","±5,813",48.3%,±0.1,"380,433","±2,130",52.0%,±0.3,"3,620,935","±2,892",49.7%,±0.1,"1,474,705","±4,896",48.9%,±0.2,"19,640,794","±6,786",49.7%,±0.1,"2,904,955","±4,852",50.4%,±0.1,"1,743,777","±2,405",48.9%,±0.1,"470,288","±1,336",48.3%,±0.1,"334,355",±513,47.4%,±0.1,"10,498,005","±7,711",48.9%,±0.1,"5,170,126","±8,608",48.7%,±0.1,"707,855","±1,848",50.0%,±0.1,"898,044","±3,290",50.3%,±0.2,"6,217,305","±5,143",49.1%,±0.1,"3,319,907","±5,799",49.3%,±0.1,"1,570,384","±4,938",49.8%,±0.2,"1,446,287","±3,677",49.6%,±0.1,"2,198,205","±4,556",49.2%,±0.1,"2,268,202","±5,764",48.8%,±0.1,"656,330","±2,255",48.8%,±0.2,"2,928,013","±3,800",48.4%,±0.1,"3,345,556","±2,975",48.5%,±0.1,"4,915,905","±4,462",49.2%,±0.1,"2,804,216","±3,601",49.7%,±0.1,"1,434,957","±6,365",48.2%,±0.2,"3,008,169","±5,283",49.0%,±0.1,"537,170","±2,159",50.3%,±0.2,"966,650","±2,645",50.0%,±0.1,"1,544,779","±2,632",50.2%,±0.1,"672,960","±2,157",49.5%,±0.2,"4,342,591","±3,793",48.9%,±0.1,"1,036,708","±3,586",49.4%,±0.2,"9,450,810","±4,777",48.6%,±0.1,"5,094,327","±7,768",48.6%,±0.1,"388,339","±2,147",51.0%,±0.3,"5,732,207","±6,085",49.0%,±0.1,"1,962,477","±3,770",49.6%,±0.1,"2,089,676","±4,292",49.5%,±0.1,"6,272,527","±4,267",49.0%,±0.1,"517,221","±1,791",48.8%,±0.2,"2,485,001","±6,337",48.3%,±0.1,"449,458","±2,743",50.8%,±0.3,"3,329,115","±5,649",48.7%,±0.1,"14,385,762","±10,844",49.6%,±0.1,"1,610,671","±2,824",50.2%,±0.1,"309,164","±1,483",49.5%,±0.2,"4,201,799","±7,762",49.2%,±0.1,"3,807,572","±4,284",50.0%,±0.1,"885,861","±3,559",49.4%,±0.2,"2,892,804","±3,518",49.7%,±0.1,"296,005","±2,436",51.1%,±0.4,"1,515,994","±3,217",47.5%,±0.1
Female,"2,533,574","±5,813",51.7%,±0.1,"351,112","±2,130",48.0%,±0.3,"3,657,782","±2,892",50.3%,±0.1,"1,543,099","±4,896",51.1%,±0.2,"19,871,429","±6,786",50.3%,±0.1,"2,853,781","±4,852",49.6%,±0.1,"1,821,510","±2,405",51.1%,±0.1,"503,476","±1,336",51.7%,±0.1,"371,394",±513,52.6%,±0.1,"10,979,732","±7,711",51.1%,±0.1,"5,447,297","±8,608",51.3%,±0.1,"708,017","±1,848",50.0%,±0.1,"889,021","±3,290",49.7%,±0.2,"6,454,516","±5,143",50.9%,±0.1,"3,412,312","±5,799",50.7%,±0.1,"1,584,686","±4,938",50.2%,±0.2,"1,467,027","±3,677",50.4%,±0.1,"2,269,468","±4,556",50.8%,±0.1,"2,380,592","±5,764",51.2%,±0.1,"687,882","±2,255",51.2%,±0.2,"3,117,667","±3,800",51.6%,±0.1,"3,546,947","±2,975",51.5%,±0.1,"5,070,952","±4,462",50.8%,±0.1,"2,835,416","±3,601",50.3%,±0.1,"1,541,192","±6,365",51.8%,±0.2,"3,129,259","±5,283",51.0%,±0.1,"531,608","±2,159",49.7%,±0.2,"967,758","±2,645",50.0%,±0.1,"1,535,377","±2,632",49.8%,±0.1,"686,751","±2,157",50.5%,±0.2,"4,539,599","±3,793",51.1%,±0.1,"1,060,121","±3,586",50.6%,±0.2,"10,002,751","±4,777",51.4%,±0.1,"5,393,757","±7,768",51.4%,±0.1,"373,723","±2,147",49.0%,±0.3,"5,956,893","±6,085",51.0%,±0.1,"1,994,494","±3,770",50.4%,±0.1,"2,128,061","±4,292",50.5%,±0.1,"6,529,462","±4,267",51.0%,±0.1,"542,140","±1,791",51.2%,±0.2,"2,663,713","±6,337",51.7%,±0.1,"435,201","±2,743",49.2%,±0.3,"3,500,059","±5,649",51.3%,±0.1,"14,610,119","±10,844",50.4%,±0.1,"1,595,287","±2,824",49.8%,±0.1,"314,825","±1,483",50.5%,±0.2,"4,333,720","±7,762",50.8%,±0.1,"3,807,321","±4,284",50.0%,±0.1,"906,286","±3,559",50.6%,±0.2,"2,929,630","±3,518",50.3%,±0.1,"282,754","±2,436",48.9%,±0.4,"1,677,700","±3,217",52.5%,±0.1
Sex ratio (males per 100 females),93.5,±0.4,(X),(X),108.4,±1.3,(X),(X),99.0,±0.2,(X),(X),95.6,±0.6,(X),(X),98.8,±0.1,(X),(X),101.8,±0.3,(X),(X),95.7,±0.3,(X),(X),93.4,±0.5,(X),(X),90.0,±0.3,(X),(X),95.6,±0.1,(X),(X),94.9,±0.3,(X),(X),100.0,±0.5,(X),(X),101.0,±0.7,(X),(X),96.3,±0.2,(X),(X),97.3,±0.3,(X),(X),99.1,±0.6,(X),(X),98.6,±0.5,(X),(X),96.9,±0.4,(X),(X),95.3,±0.5,(X),(X),95.4,±0.6,(X),(X),93.9,±0.2,(X),(X),94.3,±0.2,(X),(X),96.9,±0.2,(X),(X),98.9,±0.3,(X),(X),93.1,±0.8,(X),(X),96.1,±0.3,(X),(X),101.0,±0.8,(X),(X),99.9,±0.5,(X),(X),100.6,±0.3,(X),(X),98.0,±0.6,(X),(X),95.7,±0.2,(X),(X),97.8,±0.7,(X),(X),94.5,±0.1,(X),(X),94.4,±0.3,(X),(X),103.9,±1.2,(X),(X),96.2,±0.2,(X),(X),98.4,±0.4,(X),(X),98.2,±0.4,(X),(X),96.1,±0.1,(X),(X),95.4,±0.6,(X),(X),93.3,±0.5,(X),(X),103.3,±1.3,(X),(X),95.1,±0.3,(X),(X),98.5,±0.1,(X),(X),101.0,±0.4,(X),(X),98.2,±0.9,(X),(X),97.0,±0.4,(X),(X),100.0,±0.2,(X),(X),97.7,±0.8,(X),(X),98.7,±0.2,(X),(X),104.7,±1.8,(X),(X),90.4,±0.4,(X),(X)
Under 5 years,"286,597","±4,307",5.8%,±0.1,"50,891","±1,153",7.0%,±0.2,"427,707","±1,137",5.9%,±0.1,"183,327","±2,669",6.1%,±0.1,"2,377,839","±3,612",6.0%,±0.1,"327,302","±2,164",5.7%,±0.1,"180,598","±1,227",5.1%,±0.1,"54,261",±384,5.6%,±0.1,"45,263",±4,6.4%,±0.1,"1,131,148","±4,384",5.3%,±0.1,"639,713","±5,784",6.0%,±0.1,"85,335",±429,6.0%,±0.1,"115,837","±1,905",6.5%,±0.1,"742,404","±2,627",5.9%,±0.1,"414,553","±3,917",6.2%,±0.1,"190,606","±1,915",6.0%,±0.1,"183,236","±2,100",6.3%,±0.1,"273,130","±2,254",6.1%,±0.1,"292,977","±4,381",6.3%,±0.1,"62,813",±998,4.7%,±0.1,"358,346","±1,970",5.9%,±0.1,"355,066","±1,618",5.2%,±0.1,"567,914","±2,539",5.7%,±0.1,"349,621","±1,997",6.2%,±0.1,"179,497","±3,587",6.0%,±0.1,"365,451","±2,852",6.0%,±0.1,"58,850","±1,310",5.5%,±0.1,"129,551","±1,372",6.7%,±0.1,"184,168","±1,339",6.0%,±0.1,"64,200","±1,308",4.7%,±0.1,"511,925","±2,160",5.8%,±0.1,"116,978","±1,500",5.6%,±0.1,"1,119,825","±2,401",5.8%,±0.1,"596,583","±4,787",5.7%,±0.1,"50,567","±1,802",6.6%,±0.2,"686,672","±3,088",5.9%,±0.1,"251,083","±1,476",6.3%,±0.1,"223,364","±2,367",5.3%,±0.1,"695,661","±2,590",5.4%,±0.1,"54,802","±1,280",5.2%,±0.1,"289,537","±3,372",5.6%,±0.1,"58,859","±1,479",6.7%,±0.2,"407,026","±3,662",6.0%,±0.1,"1,981,755","±6,122",6.8%,±0.1,"245,883","±1,472",7.7%,±0.1,"29,021",±686,4.7%,±0.1,"499,906","±3,316",5.9%,±0.1,"455,283","±2,908",6.0%,±0.1,"91,548","±1,576",5.1%,±0.1,"327,258","±2,173",5.6%,±0.1,"33,098","±1,359",5.7%,±0.2,"115,403","±1,441",3.6%,±0.1
5 to 9 years,"294,475","±7,801",6.0%,±0.2,"52,692","±2,518",7.2%,±0.3,"445,512","±9,454",6.1%,±0.1,"192,289","±6,437",6.4%,±0.2,"2,380,762","±21,917",6.0%,±0.1,"344,202","±7,650",6.0%,±0.1,"193,466","±6,505",5.4%,±0.2,"54,150","±3,167",5.6%,±0.3,"35,558","±2,822",5.0%,±0.4,"1,123,648","±15,852",5.2%,±0.1,"678,013","±12,671",6.4%,±0.1,"84,466","±3,386",6.0%,±0.2,"125,134","±4,754",7.0%,±0.3,"752,856","±11,514",5.9%,±0.1,"413,125","±9,181",6.1%,±0.1,"205,431","±5,431",6.5%,±0.2,"196,962","±4,827",6.8%,±0.2,"264,938","±8,144",5.9%,±0.2,"298,089","±7,953",6.4%,±0.2,"64,874","±3,173",4.8%,±0.2,"359,505","±7,418",5.9%,±0.1,"355,521","±8,656",5.2%,±0.1,"578,688","±9,035",5.8%,±0.1,"361,330","±6,199",6.4%,±0.1,"190,277","±6,183",6.4%,±0.2,"380,818","±8,804",6.2%,±0.1,"61,823","±2,789",5.8%,±0.3,"131,863","±3,998",6.8%,±0.2,"185,324","±6,298",6.0%,±0.2,"67,001","±2,710",4.9%,±0.2,"524,592","±11,032",5.9%,±0.1,"130,751","±6,064",6.2%,±0.3,"1,052,163","±11,519",5.4%,±0.1,"615,543","±11,330",5.9%,±0.1,"48,953","±2,765",6.4%,±0.4,"690,188","±10,029",5.9%,±0.1,"262,753","±5,961",6.6%,±0.2,"235,390","±5,786",5.6%,±0.1,"713,446","±11,239",5.6%,±0.1,"49,154","±3,107",4.6%,±0.3,"300,712","±7,646",5.8%,±0.1,"59,654","±2,960",6.7%,±0.3,"405,373","±9,007",5.9%,±0.1,"1,995,392","±18,911",6.9%,±0.1,"258,067","±5,073",8.0%,±0.2,"31,204","±1,729",5.0%,±0.3,"504,065","±8,054",5.9%,±0.1,"456,737","±8,716",6.0%,±0.1,"98,494","±3,904",5.5%,±0.2,"344,543","±7,090",5.9%,±0.1,"40,471","±3,023",7.0%,±0.5,"153,900","±6,080",4.8%,±0.2
10 to 14 years,"317,645","±7,375",6.5%,±0.2,"49,737","±2,381",6.8%,±0.3,"486,413","±9,547",6.7%,±0.1,"202,376","±5,896",6.7%,±0.2,"2,629,510","±20,779",6.7%,±0.1,"366,422","±6,403",6.4%,±0.1,"216,194","±6,701",6.1%,±0.2,"59,911","±3,217",6.2%,±0.3,"31,821","±2,815",4.5%,±0.4,"1,258,247","±15,034",5.9%,±0.1,"758,925","±12,425",7.1%,±0.1,"82,606","±3,367",5.8%,±0.2,"129,492","±5,440",7.2%,±0.3,"823,249","±11,473",6.5%,±0.1,"469,734","±9,835",7.0%,±0.1,"204,137","±5,426",6.5%,±0.2,"203,308","±4,909",7.0%,±0.2,"292,075","±8,240",6.5%,±0.2,"317,155","±8,279",6.8%,±0.2,"72,870","±3,169",5.4%,±0.2,"390,637","±7,512",6.5%,±0.1,"395,607","±8,638",5.7%,±0.1,"617,636","±9,416",6.2%,±0.1,"372,737","±6,569",6.6%,±0.1,"211,264","±5,758",7.1%,±0.2,"391,770","±8,728",6.4%,±0.1,"67,783","±2,971",6.3%,±0.3,"136,832","±3,914",7.1%,±0.2,"206,681","±6,397",6.7%,±0.2,"76,710","±2,625",5.6%,±0.2,"563,204","±10,712",6.3%,±0.1,"146,207","±5,678",7.0%,±0.3,"1,164,223","±11,908",6.0%,±0.1,"686,687","±10,956",6.5%,±0.1,"50,415","±2,717",6.6%,±0.4,"752,389","±10,735",6.4%,±0.1,"280,191","±5,976",7.1%,±0.2,"254,889","±5,775",6.0%,±0.1,"764,806","±10,554",6.0%,±0.1,"62,573","±3,480",5.9%,±0.3,"334,285","±6,928",6.5%,±0.1,"62,453","±2,832",7.1%,±0.3,"443,911","±8,821",6.5%,±0.1,"2,184,780","±20,145",7.5%,±0.1,"267,584","±5,252",8.3%,±0.2,"31,922","±1,733",5.1%,±0.3,"543,494","±9,022",6.4%,±0.1,"477,450","±9,063",6.3%,±0.1,"104,920","±4,226",5.9%,±0.2,"368,646","±6,841",6.3%,±0.1,"38,966","±2,589",6.7%,±0.4,"189,662","±6,169",5.9%,±0.2
15 to 19 years,"326,671","±5,860",6.7%,±0.1,"46,531","±1,945",6.4%,±0.3,"483,546","±3,490",6.6%,±0.1,"205,446","±5,470",6.8%,±0.2,"2,547,449","±7,689",6.4%,±0.1,"365,529","±4,637",6.3%,±0.1,"238,670","±2,022",6.7%,±0.1,"60,766","±1,890",6.2%,±0.2,"37,751","±2,005",5.3%,±0.3,"1,213,809","±8,441",5.7%,±0.1,"746,150","±10,303",7.0%,±0.1,"77,697","±1,748",5.5%,±0.1,"125,543","±3,607",7.0%,±0.2,"829,525","±5,364",6.5%,±0.1,"464,953","±5,132",6.9%,±0.1,"214,686","±4,223",6.8%,±0.1,"198,860","±4,259",6.8%,±0.1,"295,004","±4,701",6.6%,±0.1,"301,712","±6,780",6.5%,±0.1,"78,209","±2,150",5.8%,±0.2,"381,318","±4,301",6.3%,±0.1,"451,393","±3,969",6.5%,±0.1,"653,218","±5,334",6.5%,±0.1,"363,358","±4,265",6.4%,±0.1,"214,658","±7,479",7.2%,±0.3,"398,235","±5,857",6.5%,±0.1,"70,013","±2,502",6.6%,±0.2,"131,674","±2,788",6.8%,±0.1,"184,666","±2,917",6.0%,±0.1,"87,386","±1,746",6.4%,±0.1,"555,206","±4,153",6.3%,±0.1,"139,186","±3,826",6.6%,±0.2,"1,187,268","±5,236",6.1%,±0.1,"713,066","±10,248",6.8%,±0.1,"46,933","±2,327",6.2%,±0.3,"766,270","±4,704",6.6%,±0.1,"273,627","±3,990",6.9%,±0.1,"249,830","±4,320",5.9%,±0.1,"803,486","±5,061",6.3%,±0.1,"71,713","±1,757",6.8%,±0.2,"339,558","±5,984",6.6%,±0.1,"57,976","±2,233",6.6%,±0.3,"435,235","±6,131",6.4%,±0.1,"2,077,356","±10,674",7.2%,±0.1,"255,453","±2,856",8.0%,±0.1,"43,161","±1,534",6.9%,±0.2,"555,996","±8,252",6.5%,±0.1,"459,277","±6,220",6.0%,±0.1,"109,763","±3,322",6.1%,±0.2,"380,127","±3,699",6.5%,±0.1,"38,611","±2,958",6.7%,±0.5,"208,460","±3,500",6.5%,±0.1
