county,SEX AND AGE,total population,male,female,SEX AND AGE!!Total population!!Sex ratio (males per 100 females),SEX AND AGE!!Total population!!Under 5 years,SEX AND AGE!!Total population!!5 to 9 years,SEX AND AGE!!Total population!!10 to 14 years,SEX AND AGE!!Total population!!15 to 19 years,SEX AND AGE!!Total population!!20 to 24 years,SEX AND AGE!!Total population!!25 to 34 years,SEX AND AGE!!Total population!!35 to 44 years,SEX AND AGE!!Total population!!45 to 54 years,SEX AND AGE!!Total population!!55 to 59 years,SEX AND AGE!!Total population!!60 to 64 years,SEX AND AGE!!Total population!!65 to 74 years,SEX AND AGE!!Total population!!75 to 84 years,SEX AND AGE!!Total population!!85 years and over,SEX AND AGE!!Total population!!Median age (years),SEX AND AGE!!Total population!!Under 18 years,SEX AND AGE!!Total population!!16 years and over,SEX AND AGE!!Total population!!18 years and over,SEX AND AGE!!Total population!!21 years and over,SEX AND AGE!!Total population!!62 years and over,SEX AND AGE!!Total population!!65 years and over,SEX AND AGE!!Total population!!18 years and over.1,SEX AND AGE!!Total population!!18 years and over!!Male,SEX AND AGE!!Total population!!18 years and over!!Female,SEX AND AGE!!Total population!!18 years and over!!Sex ratio (males per 100 females),SEX AND AGE!!Total population!!65 years and over.1,SEX AND AGE!!Total population!!65 years and over!!Male,SEX AND AGE!!Total population!!65 years and over!!Female,SEX AND AGE!!Total population!!65 years and over!!Sex ratio (males per 100 females),RACE,race,RACE!!Total population!!One race,RACE!!Total population!!Two or more races,RACE!!Total population!!One race.1,RACE!!Total population!!One race!!White,RACE!!Total population!!One race!!Black or African American,RACE!!Total population!!One race!!American Indian and Alaska Native,RACE!!Total population!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping,RACE!!Total population!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping,RACE!!Total population!!One race!!American Indian and Alaska Native!!Navajo tribal grouping,RACE!!Total population!!One race!!American Indian and Alaska Native!!Sioux tribal grouping,RACE!!Total population!!One race!!Asian,RACE!!Total population!!One race!!Asian!!Asian Indian,RACE!!Total population!!One race!!Asian!!Chinese,RACE!!Total population!!One race!!Asian!!Filipino,RACE!!Total population!!One race!!Asian!!Japanese,RACE!!Total population!!One race!!Asian!!Korean,RACE!!Total population!!One race!!Asian!!Vietnamese,RACE!!Total population!!One race!!Asian!!Other Asian,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander,RACE!!Total population!!One race!!Some other race,RACE!!Total population!!Two or more races.1,RACE!!Total population!!Two or more races!!White and Black or African American,RACE!!Total population!!Two or more races!!White and American Indian and Alaska Native,RACE!!Total population!!Two or more races!!White and Asian,RACE!!Total population!!Two or more races!!Black or African American and American Indian and Alaska Native,Race alone or in combination with one or more other races,Race alone or in combination with one or more other races!!Total population,white,black or African American,American Indian and Alaska Native,Asian,Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander,Race alone or in combination with one or more other races!!Total population!!Some other race,HISPANIC OR LATINO AND RACE,HISPANIC OR LATINO AND RACE!!Total population,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race),HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race,"HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races",Total housing units,"CITIZEN, VOTING AGE POPULATION","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female"
"Autauga County, Alabama",,"55,380",48.6%,51.4%,94.7,5.8%,6.9%,6.5%,6.9%,6.4%,12.7%,13.2%,14.0%,7.7%,4.9%,8.7%,4.7%,1.6%,38.2,23.8%,79.4%,76.2%,72.5%,17.4%,15.0%,"42,175",47.8%,52.2%,91.6,"8,283",43.4%,56.6%,76.6,,"55,380",97.8%,2.2%,97.8%,76.8%,19.0%,0.3%,0.2%,0.0%,0.0%,0.0%,1.0%,0.0%,0.2%,0.3%,0.1%,0.2%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.7%,2.2%,0.8%,0.5%,0.5%,0.0%,,"55,380",78.8%,20.0%,0.8%,1.7%,0.2%,0.7%,,"55,380",2.8%,1.4%,0.9%,0.1%,0.4%,97.2%,74.6%,19.0%,0.3%,1.0%,0.0%,0.2%,2.1%,0.0%,2.1%,"23,493",,"41,647",47.6%,52.4%
"Baldwin County, Alabama",,"212,830",48.6%,51.4%,94.7,5.5%,5.7%,6.7%,6.0%,5.1%,11.2%,12.1%,13.3%,7.1%,7.2%,12.1%,6.0%,1.9%,43.0,21.7%,81.0%,78.3%,75.0%,24.4%,20.0%,"166,595",48.0%,52.0%,92.3,"42,531",46.4%,53.6%,86.6,,"212,830",98.3%,1.7%,98.3%,86.2%,9.3%,0.8%,0.1%,0.0%,0.0%,0.0%,0.9%,0.2%,0.3%,0.1%,0.1%,0.1%,0.1%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,1.1%,1.7%,0.3%,0.7%,0.4%,0.0%,,"212,830",87.8%,9.7%,1.6%,1.4%,0.0%,1.3%,,"212,830",4.6%,2.3%,0.7%,0.2%,1.4%,95.4%,83.1%,9.2%,0.7%,0.9%,0.0%,0.2%,1.5%,0.0%,1.4%,"114,164",,"162,883",47.9%,52.1%
"Barbour County, Alabama",,"25,361",52.9%,47.1%,112.4,5.3%,6.4%,5.6%,5.6%,6.3%,14.4%,12.0%,13.1%,6.4%,6.5%,11.2%,5.8%,1.6%,40.4,20.9%,81.4%,79.1%,75.3%,22.4%,18.6%,"20,054",53.7%,46.3%,115.8,"4,710",43.0%,57.0%,75.5,,"25,361",98.8%,1.2%,98.8%,46.8%,47.6%,0.3%,0.0%,0.0%,0.0%,0.0%,0.5%,0.3%,0.0%,0.0%,0.0%,0.1%,0.1%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,3.6%,1.2%,0.1%,0.2%,0.0%,0.3%,,"25,361",47.6%,48.4%,1.1%,0.7%,0.1%,3.7%,,"25,361",4.4%,3.3%,0.3%,0.0%,0.8%,95.6%,45.8%,47.4%,0.3%,0.5%,0.0%,0.4%,1.2%,0.1%,1.1%,"12,013",,"19,728",53.4%,46.6%
"Bibb County, Alabama",,"22,493",54.0%,46.0%,117.5,5.8%,5.4%,5.0%,6.2%,5.6%,14.6%,12.9%,15.6%,6.3%,6.5%,9.3%,4.6%,2.0%,40.9,20.6%,82.2%,79.4%,76.6%,19.9%,15.9%,"17,862",53.4%,46.6%,114.8,"3,584",44.5%,55.5%,80.3,,"22,493",99.4%,0.6%,99.4%,76.8%,22.3%,0.1%,0.1%,0.0%,0.0%,0.0%,0.1%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.6%,0.4%,0.2%,0.0%,0.0%,,"22,493",77.4%,22.7%,0.3%,0.2%,0.0%,0.0%,,"22,493",2.6%,0.7%,0.2%,0.1%,1.4%,97.4%,74.5%,22.1%,0.1%,0.1%,0.0%,0.0%,0.5%,0.0%,0.5%,"9,185",,"17,662",53.6%,46.4%
"Blount County, Alabama",,"57,681",49.4%,50.6%,97.6,5.9%,6.2%,7.0%,6.3%,5.6%,11.9%,12.6%,13.3%,6.7%,6.6%,10.6%,5.5%,1.8%,40.7,23.2%,79.6%,76.8%,73.5%,21.7%,17.9%,"44,292",48.9%,51.1%,95.8,"10,326",44.6%,55.4%,80.6,,"57,681",98.4%,1.6%,98.4%,95.5%,1.6%,0.1%,0.0%,0.0%,0.0%,0.0%,0.4%,0.1%,0.1%,0.1%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.9%,1.6%,0.3%,1.1%,0.0%,0.0%,,"57,681",97.0%,1.9%,1.2%,0.5%,0.1%,0.9%,,"57,681",9.3%,8.1%,0.3%,0.1%,0.8%,90.7%,86.9%,1.5%,0.1%,0.4%,0.0%,0.4%,1.5%,0.0%,1.5%,"24,323",,"42,722",48.8%,51.2%
"Bullock County, Alabama",,"10,248",54.4%,45.6%,119.1,5.3%,6.2%,5.4%,7.9%,5.8%,12.4%,13.5%,13.3%,6.6%,7.5%,10.0%,4.4%,1.7%,40.2,20.8%,81.7%,79.2%,74.9%,19.6%,16.0%,"8,120",55.2%,44.8%,123.1,"1,640",42.9%,57.1%,75.0,,"10,248",99.2%,0.8%,99.2%,21.9%,74.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.5%,0.0%,0.4%,0.0%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2.0%,0.8%,0.0%,0.0%,0.0%,0.0%,,"10,248",21.9%,75.6%,0.0%,1.2%,0.0%,2.0%,,"10,248",2.6%,2.3%,0.3%,0.0%,0.0%,97.4%,21.4%,74.8%,0.0%,0.5%,0.0%,0.0%,0.8%,0.0%,0.8%,"4,557",,"8,120",55.2%,44.8%
"Butler County, Alabama",,"19,828",45.8%,54.2%,84.5,5.8%,6.5%,6.1%,6.4%,5.5%,11.8%,12.8%,11.2%,7.1%,7.1%,11.5%,5.5%,2.6%,40.8,22.5%,80.0%,77.5%,73.8%,23.7%,19.7%,"15,373",44.7%,55.3%,80.9,"3,900",40.9%,59.1%,69.3,,"19,828",97.9%,2.1%,97.9%,51.8%,45.4%,0.1%,0.0%,0.0%,0.0%,0.0%,0.3%,0.1%,0.0%,0.1%,0.0%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.2%,2.1%,1.0%,0.6%,0.1%,0.0%,,"19,828",53.9%,46.4%,0.7%,0.4%,0.0%,0.7%,,"19,828",1.4%,1.3%,0.0%,0.0%,0.1%,98.6%,51.6%,45.0%,0.1%,0.3%,0.0%,0.0%,1.6%,0.0%,1.6%,"10,089",,"15,308",44.7%,55.3%
"Calhoun County, Alabama",,"114,618",48.1%,51.9%,92.7,5.8%,5.8%,6.2%,6.8%,6.4%,13.2%,11.9%,12.7%,7.0%,6.9%,10.2%,5.2%,1.8%,39.6,21.8%,81.0%,78.2%,74.2%,21.2%,17.2%,"89,666",47.2%,52.8%,89.5,"19,738",42.4%,57.6%,73.7,,"114,618",97.6%,2.4%,97.6%,73.7%,20.8%,0.3%,0.1%,0.0%,0.0%,0.0%,0.9%,0.1%,0.1%,0.1%,0.0%,0.2%,0.2%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%,1.9%,2.4%,0.9%,0.7%,0.3%,0.1%,,"114,618",75.8%,22.0%,1.2%,1.4%,0.1%,2.1%,,"114,618",3.8%,2.4%,0.7%,0.1%,0.6%,96.2%,72.1%,20.7%,0.2%,0.9%,0.0%,0.2%,2.2%,0.1%,2.1%,"53,631",,"88,204",47.4%,52.6%
"Chambers County, Alabama",,"33,660",47.8%,52.2%,91.6,6.1%,5.3%,6.0%,5.4%,6.5%,12.3%,11.4%,13.5%,7.8%,6.5%,11.8%,5.5%,1.9%,42.0,21.0%,81.4%,79.0%,75.8%,23.1%,19.2%,"26,595",47.3%,52.7%,89.7,"6,470",42.8%,57.2%,74.9,,"33,660",99.0%,1.0%,99.0%,57.7%,39.6%,0.3%,0.1%,0.0%,0.0%,0.0%,1.1%,0.2%,0.1%,0.1%,0.0%,0.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.3%,1.0%,0.7%,0.2%,0.2%,0.0%,,"33,660",58.7%,40.2%,0.5%,1.3%,0.0%,0.3%,,"33,660",2.4%,0.9%,0.4%,0.4%,0.7%,97.6%,55.5%,39.6%,0.3%,1.1%,0.0%,0.1%,1.0%,0.0%,1.0%,"16,988",,"26,171",47.0%,53.0%
"Cherokee County, Alabama",,"25,903",49.3%,50.7%,97.3,4.6%,5.6%,5.7%,6.2%,5.0%,9.6%,11.1%,14.2%,7.8%,7.7%,13.6%,6.9%,2.0%,46.5,20.2%,82.6%,79.8%,76.8%,27.0%,22.4%,"20,658",49.2%,50.8%,96.8,"5,811",46.5%,53.5%,86.8,,"25,903",99.1%,0.9%,99.1%,92.9%,4.6%,1.1%,0.9%,0.0%,0.0%,0.0%,0.2%,0.0%,0.1%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.4%,0.9%,0.5%,0.3%,0.0%,0.0%,,"25,903",93.6%,5.1%,1.5%,0.3%,0.1%,0.4%,,"25,903",1.6%,1.4%,0.0%,0.0%,0.2%,98.4%,91.7%,4.6%,1.1%,0.2%,0.0%,0.0%,0.8%,0.0%,0.8%,"16,579",,"20,578",49.1%,50.9%
