Year,Label (Grouping),State Code,Median income (dollars),Mean income (dollars)
2019,Autauga County,AL,"58,731","75,326"
2019,Baldwin County,AL,"58,320","80,986"
2019,Barbour County,AL,"32,525","47,068"
2019,Bibb County,AL,"47,542","60,182"
2019,Blount County,AL,"49,358","65,639"
2019,Bullock County,AL,"37,785","48,571"
2019,Butler County,AL,"40,688","55,971"
2019,Calhoun County,AL,"47,255","63,417"
2019,Chambers County,AL,"42,289","53,505"
2019,Cherokee County,AL,"41,919","57,617"
2019,Chilton County,AL,"47,468","62,784"
2019,Choctaw County,AL,"35,892","52,395"
2019,Clarke County,AL,"37,404","54,687"
2019,Clay County,AL,"40,845","57,585"
2019,Cleburne County,AL,"44,741","57,990"
2019,Coffee County,AL,"55,637","70,079"
2019,Colbert County,AL,"48,065","60,904"
2019,Conecuh County,AL,"37,837","47,286"
2019,Coosa County,AL,"38,990","56,017"
2019,Covington County,AL,"42,189","57,075"
2019,Crenshaw County,AL,"43,163","61,468"
2019,Cullman County,AL,"44,918","59,909"
2019,Dale County,AL,"47,214","61,001"
2019,Dallas County,AL,"33,845","47,753"
2019,DeKalb County,AL,"40,440","56,390"
2019,Elmore County,AL,"60,891","78,370"
2019,Escambia County,AL,"36,275","50,242"
2019,Etowah County,AL,"44,637","60,379"
2019,Fayette County,AL,"39,856","53,897"
2019,Franklin County,AL,"43,514","56,907"
2019,Geneva County,AL,"41,732","53,077"
2019,Greene County,AL,"24,145","36,431"
2019,Hale County,AL,"34,046","51,992"
2019,Henry County,AL,"50,017","62,696"
2019,Houston County,AL,"47,580","67,855"
2019,Jackson County,AL,"41,769","54,808"
2019,Jefferson County,AL,"53,901","78,812"
2019,Lamar County,AL,"38,364","54,252"
2019,Lauderdale County,AL,"48,094","65,763"
2019,Lawrence County,AL,"44,886","58,315"
2019,Lee County,AL,"51,463","71,547"
2019,Limestone County,AL,"59,686","77,275"
2019,Lowndes County,AL,"30,036","47,139"
2019,Macon County,AL,"33,370","50,091"
2019,Madison County,AL,"65,449","88,291"
2019,Marengo County,AL,"33,241","54,556"
2019,Marion County,AL,"35,930","50,367"
2019,Marshall County,AL,"45,983","63,834"
2019,Mobile County,AL,"47,583","64,948"
2019,Monroe County,AL,"30,441","48,659"
2019,Montgomery County,AL,"50,124","70,975"
2019,Morgan County,AL,"52,156","68,318"
2019,Perry County,AL,"23,447","35,819"
2019,Pickens County,AL,"39,848","56,370"
2019,Pike County,AL,"37,446","57,838"
2019,Randolph County,AL,"43,395","58,836"
2019,Russell County,AL,"42,443","55,932"
2019,St. Clair County,AL,"58,308","70,326"
2019,Shelby County,AL,"77,799","100,262"
2019,Sumter County,AL,"24,320","38,978"
2019,Talladega County,AL,"41,325","57,269"
2019,Tallapoosa County,AL,"45,828","60,734"
2019,Tuscaloosa County,AL,"53,326","71,528"
2019,Walker County,AL,"43,629","59,159"
2019,Washington County,AL,"41,370","60,489"
2019,Wilcox County,AL,"31,014","42,500"
2019,Winston County,AL,"35,788","53,167"
2020,Autauga County,AL,"57,982","75,614"
2020,Baldwin County,AL,"61,756","83,626"
2020,Barbour County,AL,"34,990","51,557"
2020,Bibb County,AL,"51,721","61,655"
2020,Blount County,AL,"48,922","66,360"
2020,Bullock County,AL,"33,866","50,664"
2020,Butler County,AL,"44,850","62,399"
2020,Calhoun County,AL,"50,128","65,276"
2020,Chambers County,AL,"43,875","56,122"
2020,Cherokee County,AL,"42,509","61,278"
2020,Chilton County,AL,"52,141","66,434"
2020,Choctaw County,AL,"36,634","53,709"
2020,Clarke County,AL,"37,345","59,803"
2020,Clay County,AL,"42,678","62,634"
2020,Cleburne County,AL,"46,320","60,254"
2020,Coffee County,AL,"56,799","70,669"
2020,Colbert County,AL,"47,962","60,264"
2020,Conecuh County,AL,"35,444","49,693"
2020,Coosa County,AL,"43,571","58,927"
2020,Covington County,AL,"42,566","59,947"
2020,Crenshaw County,AL,"42,611","64,930"
2020,Cullman County,AL,"48,388","62,592"
2020,Dale County,AL,"45,644","59,235"
2020,Dallas County,AL,"33,317","46,306"
2020,DeKalb County,AL,"42,267","58,198"
2020,Elmore County,AL,"62,324","78,932"
2020,Escambia County,AL,"35,558","48,165"
2020,Etowah County,AL,"44,934","61,229"
2020,Fayette County,AL,"41,469","55,489"
2020,Franklin County,AL,"41,174","55,229"
2020,Geneva County,AL,"41,569","54,632"
2020,Greene County,AL,"26,688","38,224"
2020,Hale County,AL,"30,793","50,342"
2020,Henry County,AL,"51,715","64,672"
2020,Houston County,AL,"49,069","69,728"
2020,Jackson County,AL,"42,578","57,723"
2020,Jefferson County,AL,"55,088","81,248"
2020,Lamar County,AL,"42,688","53,482"
2020,Lauderdale County,AL,"48,428","66,737"
2020,Lawrence County,AL,"47,125","61,591"
2020,Lee County,AL,"52,930","74,869"
2020,Limestone County,AL,"64,270","79,507"
2020,Lowndes County,AL,"33,634","49,686"
2020,Macon County,AL,"35,450","53,763"
2020,Madison County,AL,"66,887","90,951"
2020,Marengo County,AL,"33,029","57,849"
2020,Marion County,AL,"40,978","53,854"
2020,Marshall County,AL,"50,216","68,303"
2020,Mobile County,AL,"49,625","67,142"
2020,Monroe County,AL,"31,969","52,097"
2020,Montgomery County,AL,"51,963","72,022"
2020,Morgan County,AL,"52,923","70,835"
2020,Perry County,AL,"23,875","35,146"
2020,Pickens County,AL,"40,362","58,575"
2020,Pike County,AL,"39,218","61,289"
2020,Randolph County,AL,"45,141","59,766"
2020,Russell County,AL,"42,208","57,400"
2020,St. Clair County,AL,"62,531","73,785"
2020,Shelby County,AL,"78,889","103,042"
