"Label (Grouping)","SEX AND AGE","Total population","Male","Female","Sex ratio (males per 100 females)","Two or more races","One race","White","Black or African American","American Indian and Alaska Native","Asian","Native Hawaiian and Other Pacific Islander","Some other race","Two or more races"
"Autauga County, Alabama","","","","","","","","","","","","","","",""
"    Estimate","","55,639","27,052","28,587","94.6","54,218","1,421","54,218","42,150","10,866","155","649","24","374","1,421"
"    Percent","","55,639","48.6%","51.4%","(X)","97.4%","2.6%","97.4%","75.8%","19.5%","0.3%","1.2%","0.0%","0.7%","2.6%"
"Baldwin County, Alabama","","","","","","","","","","","","","","",""
"    Estimate","","218,289","105,889","112,400","94.2","212,612","5,677","212,612","186,504","19,153","1,514","2,033","10","3,398","5,677"
"    Percent","","218,289","48.5%","51.5%","(X)","97.4%","2.6%","97.4%","85.4%","8.8%","0.7%","0.9%","0.0%","1.6%","2.6%"
"Barbour County, Alabama","","","","","","","","","","","","","","",""
"    Estimate","","25,026","13,156","11,870","110.8","24,504","522","24,504","11,587","11,929","88","122","1","777","522"
"    Percent","","25,026","52.6%","47.4%","(X)","97.9%","2.1%","97.9%","46.3%","47.7%","0.4%","0.5%","0.0%","3.1%","2.1%"
"Bibb County, Alabama","","","","","","","","","","","","","","",""
"    Estimate","","22,374","12,022","10,352","116.1","22,260","114","22,260","17,138","5,045","12","56","0","9","114"
"    Percent","","22,374","53.7%","46.3%","(X)","99.5%","0.5%","99.5%","76.6%","22.5%","0.1%","0.3%","0.0%","0.0%","0.5%"
"Blount County, Alabama","","","","","","","","","","","","","","",""
"    Estimate","","57,755","28,677","29,078","98.6","56,462","1,293","56,462","54,271","808","55","236","55","1,037","1,293"
"    Percent","","57,755","49.7%","50.3%","(X)","97.8%","2.2%","97.8%","94.0%","1.4%","0.1%","0.4%","0.1%","1.8%","2.2%"
"Bullock County, Alabama","","","","","","","","","","","","","","",""
"    Estimate","","10,173","5,578","4,595","121.4","10,098","75","10,098","2,663","6,980","0","137","0","318","75"
"    Percent","","10,173","54.8%","45.2%","(X)","99.3%","0.7%","99.3%","26.2%","68.6%","0.0%","1.3%","0.0%","3.1%","0.7%"
"Butler County, Alabama","","","","","","","","","","","","","","",""
"    Estimate","","19,726","9,050","10,676","84.8","19,403","323","19,403","10,183","8,795","66","261","0","98","323"
"    Percent","","19,726","45.9%","54.1%","(X)","98.4%","1.6%","98.4%","51.6%","44.6%","0.3%","1.3%","0.0%","0.5%","1.6%"
"Calhoun County, Alabama","","","","","","","","","","","","","","",""
"    Estimate","","114,324","54,925","59,399","92.5","111,472","2,852","111,472","83,801","24,190","358","925","327","1,871","2,852"
"    Percent","","114,324","48.0%","52.0%","(X)","97.5%","2.5%","97.5%","73.3%","21.2%","0.3%","0.8%","0.3%","1.6%","2.5%"
"Chambers County, Alabama","","","","","","","","","","","","","","",""
"    Estimate","","33,427","15,928","17,499","91.0","33,109","318","33,109","19,015","13,372","81","368","9","264","318"
"    Percent","","33,427","47.7%","52.3%","(X)","99.0%","1.0%","99.0%","56.9%","40.0%","0.2%","1.1%","0.0%","0.8%","1.0%"
"Cherokee County, Alabama","","","","","","","","","","","","","","",""
"    Estimate","","26,035","12,875","13,160","97.8","25,608","427","25,608","23,970","1,250","150","26","0","212","427"
"    Percent","","26,035","49.5%","50.5%","(X)","98.4%","1.6%","98.4%","92.1%","4.8%","0.6%","0.1%","0.0%","0.8%","1.6%"
"Chilton County, Alabama","","","","","","","","","","","","","","",""
"    Estimate","","44,147","21,520","22,627","95.1","42,798","1,349","42,798","36,260","4,268","504","195","0","1,571","1,349"
"    Percent","","44,147","48.7%","51.3%","(X)","96.9%","3.1%","96.9%","82.1%","9.7%","1.1%","0.4%","0.0%","3.6%","3.1%"
"Choctaw County, Alabama","","","","","","","","","","","","","","",""
"    Estimate","","12,755","6,032","6,723","89.7","12,694","61","12,694","7,253","5,398","7","25","0","11","61"
"    Percent","","12,755","47.3%","52.7%","(X)","99.5%","0.5%","99.5%","56.9%","42.3%","0.1%","0.2%","0.0%","0.1%","0.5%"
"Clarke County, Alabama","","","","","","","","","","","","","","",""
"    Estimate","","23,866","11,349","12,517","90.7","23,603","263","23,603","12,520","10,909","18","109","0","47","263"
"    Percent","","23,866","47.6%","52.4%","(X)","98.9%","1.1%","98.9%","52.5%","45.7%","0.1%","0.5%","0.0%","0.2%","1.1%"
"Clay County, Alabama","","","","","","","","","","","","","","",""
"    Estimate","","13,285","6,398","6,887","92.9","13,162","123","13,162","11,068","2,035","20","33","0","6","123"
"    Percent","","13,285","48.2%","51.8%","(X)","99.1%","0.9%","99.1%","83.3%","15.3%","0.2%","0.2%","0.0%","0.0%","0.9%"
"Cleburne County, Alabama","","","","","","","","","","","","","","",""
"    Estimate","","14,952","7,268","7,684","94.6","14,652","300","14,652","13,955","394","21","1","0","281","300"
"    Percent","","14,952","48.6%","51.4%","(X)","98.0%","2.0%","98.0%","93.3%","2.6%","0.1%","0.0%","0.0%","1.9%","2.0%"
"Coffee County, Alabama","","","","","","","","","","","","","","",""
"    Estimate","","52,238","25,815","26,423","97.7","49,961","2,277","49,961","39,014","8,906","523","843","0","675","2,277"
"    Percent","","52,238","49.4%","50.6%","(X)","95.6%","4.4%","95.6%","74.7%","17.0%","1.0%","1.6%","0.0%","1.3%","4.4%"
"Colbert County, Alabama","","","","","","","","","","","","","","",""
"    Estimate","","54,957","26,448","28,509","92.8","53,825","1,132","53,825","43,279","8,909","313","282","57","985","1,132"
"    Percent","","54,957","48.1%","51.9%","(X)","97.9%","2.1%","97.9%","78.8%","16.2%","0.6%","0.5%","0.1%","1.8%","2.1%"
"Conecuh County, Alabama","","","","","","","","","","","","","","",""
"    Estimate","","12,219","5,951","6,268","94.9","12,138","81","12,138","6,176","5,872","20","70","0","0","81"
"    Percent","","12,219","48.7%","51.3%","(X)","99.3%","0.7%","99.3%","50.5%","48.1%","0.2%","0.6%","0.0%","0.0%","0.7%"
"Coosa County, Alabama","","","","","","","","","","","","","","",""
"    Estimate","","10,696","5,499","5,197","105.8","10,603","93","10,603","7,052","3,451","32","0","0","68","93"
"    Percent","","10,696","51.4%","48.6%","(X)","99.1%","0.9%","99.1%","65.9%","32.3%","0.3%","0.0%","0.0%","0.6%","0.9%"
"Covington County, Alabama","","","","","","","","","","","","","","",""
"    Estimate","","37,096","18,034","19,062","94.6","36,455","641","36,455","31,260","4,707","78","245","32","133","641"
"    Percent","","37,096","48.6%","51.4%","(X)","98.3%","1.7%","98.3%","84.3%","12.7%","0.2%","0.7%","0.1%","0.4%","1.7%"
"Crenshaw County, Alabama","","","","","","","","","","","","","","",""
"    Estimate","","13,826","6,589","7,237","91.0","13,510","316","13,510","9,890","3,267","104","183","8","58","316"
"    Percent","","13,826","47.7%","52.3%","(X)","97.7%","2.3%","97.7%","71.5%","23.6%","0.8%","1.3%","0.1%","0.4%","2.3%"
"Cullman County, Alabama","","","","","","","","","","","","","","",""
"    Estimate","","83,345","41,079","42,266","97.2","80,595","2,750","80,595","78,295","943","295","304","0","758","2,750"
"    Percent","","83,345","49.3%","50.7%","(X)","96.7%","3.3%","96.7%","93.9%","1.1%","0.4%","0.4%","0.0%","0.9%","3.3%"
"Dale County, Alabama","","","","","","","","","","","","","","",""
"    Estimate","","49,293","24,265","25,028","97.0","47,653","1,640","47,653","35,286","10,193","413","680","0","1,081","1,640"
"    Percent","","49,293","49.2%","50.8%","(X)","96.7%","3.3%","96.7%","71.6%","20.7%","0.8%","1.4%","0.0%","2.2%","3.3%"
