"Label (Grouping)","Total","Total!!Less than $10,000","Total!!$10,000 to $14,999","Total!!$15,000 to $24,999","Total!!$25,000 to $34,999","Total!!$35,000 to $49,999","Total!!$50,000 to $74,999","Total!!$75,000 to $99,999","Total!!$100,000 to $149,999","Total!!$150,000 to $199,999","Total!!$200,000 or more","Median income","Mean income","PERCENT ALLOCATED","PERCENT ALLOCATED!!Household income in the past 12 months","PERCENT ALLOCATED!!Family income in the past 12 months","PERCENT ALLOCATED!!Nonfamily income in the past 12 months"
"Autauga County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","21,559","6.2%","4.6%","12.3%","8.5%","12.7%","17.0%","13.4%","16.4%","4.8%","4.2%","57,982","75,614","","32.5%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","15,103","5.2%","2.6%","8.1%","7.2%","11.9%","17.7%","16.0%","19.4%","6.3%","5.7%","70,730","88,331","","(X)","30.1%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","11,281","2.3%","1.1%","5.0%","7.3%","8.6%","17.8%","17.4%","25.2%","8.3%","7.1%","87,738","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","6,456","10.3%","9.7%","22.2%","12.3%","13.9%","15.3%","6.5%","8.0%","1.4%","0.4%","30,041","43,328","","(X)","(X)","36.1%"
"Baldwin County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","84,047","5.2%","4.8%","7.7%","10.0%","14.0%","16.8%","13.7%","15.5%","5.8%","6.6%","61,756","83,626","","34.6%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","56,092","2.1%","1.9%","4.6%","7.5%","12.5%","17.7%","16.1%","20.2%","8.2%","9.2%","79,907","101,693","","(X)","37.2%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","46,277","1.0%","0.8%","3.1%","5.9%","11.4%","17.0%","17.9%","22.9%","9.1%","10.9%","88,867","111,411","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","27,955","11.8%","10.5%","14.3%","15.9%","16.5%","15.6%","7.4%","5.6%","1.0%","1.4%","32,861","45,788","","(X)","(X)","28.4%"
"Barbour County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","9,322","14.6%","7.6%","18.4%","9.4%","12.5%","16.3%","7.3%","9.1%","2.2%","2.6%","34,990","51,557","","43.9%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","6,083","11.1%","5.4%","12.2%","12.0%","12.2%","19.5%","10.2%","10.7%","3.3%","3.3%","45,836","60,687","","(X)","47.4%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
