"Label (Grouping)","Total","Total!!Less than $10,000","Total!!$10,000 to $14,999","Total!!$15,000 to $24,999","Total!!$25,000 to $34,999","Total!!$35,000 to $49,999","Total!!$50,000 to $74,999","Total!!$75,000 to $99,999","Total!!$100,000 to $149,999","Total!!$150,000 to $199,999","Total!!$200,000 or more","Median income (dollars)","Mean income (dollars)","PERCENT ALLOCATED","PERCENT ALLOCATED!!Household income in the past 12 months","PERCENT ALLOCATED!!Family income in the past 12 months","PERCENT ALLOCATED!!Nonfamily income in the past 12 months"
"Autauga County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","21,856","5.5%","4.8%","10.9%","8.1%","12.1%","17.8%","13.9%","16.2%","6.0%","4.7%","62,660","79,498","","33.4%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","15,321","5.1%","2.6%","6.2%","7.4%","10.3%","20.0%","15.1%","19.5%","7.6%","6.3%","72,441","91,997","","(X)","32.4%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","11,465","2.8%","1.2%","3.6%","6.6%","8.1%","18.5%","16.1%","25.1%","9.9%","8.0%","88,729","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","6,535","8.2%","10.8%","23.0%","10.6%","14.7%","12.9%","9.9%","7.9%","1.2%","0.8%","31,338","46,030","","(X)","(X)","33.0%"
"Baldwin County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","87,190","4.9%","4.2%","7.0%","9.5%","13.4%","17.0%","14.6%","15.3%","7.0%","7.1%","64,346","87,709","","34.4%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","58,062","2.5%","1.2%","4.1%","6.2%","12.6%","17.5%","16.8%","19.7%","9.8%","9.7%","82,801","106,183","","(X)","37.1%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","47,986","1.0%","0.5%","2.6%","5.0%","11.1%","16.9%","18.0%","22.4%","11.0%","11.6%","92,360","116,901","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","29,128","10.3%","10.2%","13.1%","16.3%","15.4%","16.7%","8.9%","6.1%","1.3%","1.8%","35,140","49,292","","(X)","(X)","28.0%"
"Barbour County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","9,088","12.3%","7.1%","18.4%","10.7%","13.7%","16.2%","7.0%","9.3%","1.9%","3.3%","36,422","55,066","","48.7%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","5,860","9.5%","5.2%","11.7%","10.8%","13.9%","19.2%","10.7%","11.5%","2.8%","4.6%","48,768","66,418","","(X)","51.7%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
